Category,Link
Teddy Bears,https://www.blinkit.com/cn/teddy-bears/cid/675/496
Cartoon Characters,https://www.blinkit.com/cn/cartoon-characters/cid/675/487
Animal Toys,https://www.blinkit.com/cn/animal-toys/cid/675/495
Novelty Toys,https://www.blinkit.com/cn/novelty-toys/cid/675/409
"Writing Pad Toys, Laptop Toys & Tablet Toys",https://www.blinkit.com/cn/writing-pad-toys-laptop-toys-tablet-toys/cid/675/499
Science Project Kits,https://www.blinkit.com/cn/science-project-kits/cid/675/500
Learning Toys,https://www.blinkit.com/cn/learning-toys/cid/675/677
Building & Block Toys,https://www.blinkit.com/cn/building-block-toys/cid/675/678
Dolls & Accessories,https://www.blinkit.com/cn/dolls-accessories/cid/675/242
Puzzles,https://www.blinkit.com/cn/puzzles/cid/675/479
Games for Adults,https://www.blinkit.com/cn/games-for-adults/cid/675/734
Cube Games,https://www.blinkit.com/cn/cube-games/cid/675/396
Card Games,https://www.blinkit.com/cn/card-games/cid/675/486
Board Games,https://www.blinkit.com/cn/board-games/cid/675/484
Slime,https://www.blinkit.com/cn/slime/cid/675/413
Clay & Dough,https://www.blinkit.com/cn/clay-dough/cid/675/474
Art & Craft Kits,https://www.blinkit.com/cn/art-craft-kits/cid/675/475
Remote Control Toys,https://www.blinkit.com/cn/remote-control-toys/cid/675/497
Model Toy Vehiclesme,https://www.blinkit.com/cn/model-toy-vehiclesme/cid/675/498
Battle Toys,https://www.blinkit.com/cn/battle-toys/cid/675/410
Action Figures,https://www.blinkit.com/cn/action-figures/cid/675/397
Toddler & Baby Toys,https://www.blinkit.com/cn/toddler-baby-toys/cid/675/683
Soft Toys,https://www.blinkit.com/cn/soft-toys/cid/675/257
Learning & Education Toys,https://www.blinkit.com/cn/learning-education-toys/cid/675/256
Dolls & Play Sets,https://www.blinkit.com/cn/dolls-play-sets/cid/675/266
"Cards, Puzzles & Board Games: Classic Entertainment for All",https://www.blinkit.com/cn/cards-puzzles-board-games-classic-entertainment-for-all/cid/675/258
Art & Craft Games,https://www.blinkit.com/cn/art-craft-games/cid/675/231
Action Toys & Toy Vehicles,https://www.blinkit.com/cn/action-toys-toy-vehicles/cid/675/151
Travel & Tourism Books,https://www.blinkit.com/cn/travel-tourism-books/cid/1559/210
Subject Reference & Learning Books,https://www.blinkit.com/cn/subject-reference-learning-books/cid/1559/392
Sports Books,https://www.blinkit.com/cn/sports-books/cid/1559/582
Society & Social Sciences Books,https://www.blinkit.com/cn/society-social-sciences-books/cid/1559/212
Self Help Books,https://www.blinkit.com/cn/self-help-books/cid/1559/515
Science & Technology Books,https://www.blinkit.com/cn/science-technology-books/cid/1559/201
Religion & Spirituality Books,https://www.blinkit.com/cn/religion-spirituality-books/cid/1559/570
Political Books,https://www.blinkit.com/cn/political-books/cid/1559/567
Poetry Books,https://www.blinkit.com/cn/poetry-books/cid/1559/563
History Books,https://www.blinkit.com/cn/history-books/cid/1559/583
"Health, Fitness & Nutrition Books",https://www.blinkit.com/cn/health-fitness-nutrition-books/cid/1559/519
Cook Books,https://www.blinkit.com/cn/cook-books/cid/1559/526
"Business, Economics & Finance Books",https://www.blinkit.com/cn/business-economics-finance-books/cid/1559/518
Analysis & Strategy Books,https://www.blinkit.com/cn/analysis-strategy-books/cid/1559/517
Activity Books for Adults,https://www.blinkit.com/cn/activity-books-for-adults/cid/1559/516
Short Stories Books,https://www.blinkit.com/cn/short-stories-books/cid/1559/366
Science Fiction Books,https://www.blinkit.com/cn/science-fiction-books/cid/1559/321
Romance Books,https://www.blinkit.com/cn/romance-books/cid/1559/1586
Mystery & Thriller Books,https://www.blinkit.com/cn/mystery-thriller-books/cid/1559/241
Literature / Classics Books,https://www.blinkit.com/cn/literature-classics-books/cid/1559/221
Humour Books,https://www.blinkit.com/cn/humour-books/cid/1559/265
Horror Books,https://www.blinkit.com/cn/horror-books/cid/1559/236
Historical & Mythological Books,https://www.blinkit.com/cn/historical-mythological-books/cid/1559/234
Fantasy Books,https://www.blinkit.com/cn/fantasy-books/cid/1559/233
Contemporary Books,https://www.blinkit.com/cn/contemporary-books/cid/1559/230
Action & Adventure Books,https://www.blinkit.com/cn/action-adventure-books/cid/1559/220
Children's Activity Books,https://www.blinkit.com/cn/childrens-activity-books/cid/1559/512
Non Fiction Books,https://www.blinkit.com/cn/non-fiction-books/cid/1559/275
Manga & Graphic Novels,https://www.blinkit.com/cn/manga-graphic-novels/cid/1559/216
Fiction Books,https://www.blinkit.com/cn/fiction-books/cid/1559/274
Children's Books,https://www.blinkit.com/cn/childrens-books/cid/1559/273
Biographies & Memoirs,https://www.blinkit.com/cn/biographies-memoirs/cid/1559/217
Print Store,https://www.blinkit.com/print
Rakhi Gifts,https://www.blinkit.com/dc/?collection_uuid=4981b5da-20ea-439a-bd29-4a13e3b59f82
E-Gift Cards,https://www.blinkit.com/cn/e-cards/cid/416/4301
